Category Code,Category 中文,Category English,Skill Code,Skill 中文,Skill English,國中來源筆數,高中來源筆數,建議年段,狀態
G1,句子與結構一致,Sentence Structure & Agreement,GRAM_G1_SENT_PAT,基本句型,Basic Sentence Patterns,1,9,國中＋高中,CANDIDATE
G1,句子與結構一致,Sentence Structure & Agreement,GRAM_G1_SENT_ELEM,句子成分,Sentence Elements,0,2,高中,CANDIDATE
G1,句子與結構一致,Sentence Structure & Agreement,GRAM_G1_AGREEMENT,主動詞一致,Subject–Verb Agreement,0,8,高中,CANDIDATE
G1,句子與結構一致,Sentence Structure & Agreement,GRAM_G1_VERB_COMP,動詞配價與補語,Verb Complementation,4,1,國中＋高中,CANDIDATE
G1,句子與結構一致,Sentence Structure & Agreement,GRAM_G1_NOUN_CLAUSE,名詞子句,Noun Clauses,2,6,國中＋高中,CANDIDATE
G1,句子與結構一致,Sentence Structure & Agreement,GRAM_G1_ADJ_CLAUSE,形容詞子句,Adjective Clauses,0,0,待補來源,CANDIDATE
G1,句子與結構一致,Sentence Structure & Agreement,GRAM_G1_ADV_CLAUSE,副詞子句,Adverb Clauses,0,5,高中,CANDIDATE
G2,名詞、代名詞與限定詞,"Nouns, Pronouns & Determiners",GRAM_G2_NOUN,名詞,Nouns,1,6,國中＋高中,CANDIDATE
G2,名詞、代名詞與限定詞,"Nouns, Pronouns & Determiners",GRAM_G2_POSSESS,所有格,Possession,0,3,高中,CANDIDATE
G2,名詞、代名詞與限定詞,"Nouns, Pronouns & Determiners",GRAM_G2_PRON,代名詞,Pronouns,1,9,國中＋高中,CANDIDATE
G2,名詞、代名詞與限定詞,"Nouns, Pronouns & Determiners",GRAM_G2_ARTICLE,冠詞與限定詞,Articles & Determiners,0,4,高中,CANDIDATE
G2,名詞、代名詞與限定詞,"Nouns, Pronouns & Determiners",GRAM_G2_QUANT,數量詞與數字,Quantifiers & Numerals,2,3,國中＋高中,CANDIDATE
G3,動詞、時態與語態,"Verbs, Tenses & Voice",GRAM_G3_PRESENT,現在時態,Present Tenses,3,5,國中＋高中,CANDIDATE
G3,動詞、時態與語態,"Verbs, Tenses & Voice",GRAM_G3_PAST,過去時態,Past Tenses,3,4,國中＋高中,CANDIDATE
G3,動詞、時態與語態,"Verbs, Tenses & Voice",GRAM_G3_FUTURE,未來時態,Future Tenses,1,4,國中＋高中,CANDIDATE
G3,動詞、時態與語態,"Verbs, Tenses & Voice",GRAM_G3_TENSE_INT,時態整合,Tense Integration,0,2,高中,CANDIDATE
G3,動詞、時態與語態,"Verbs, Tenses & Voice",GRAM_G3_VERB_USAGE,動詞用法,Verb Usage,6,3,國中＋高中,CANDIDATE
G3,動詞、時態與語態,"Verbs, Tenses & Voice",GRAM_G3_VOICE,主動與被動語態,Active & Passive Voice,1,2,國中＋高中,CANDIDATE
G3,動詞、時態與語態,"Verbs, Tenses & Voice",GRAM_G3_PASSIVE_TENSE,各時態的被動語態,Passive Voice across Tenses,2,12,國中＋高中,CANDIDATE
G3,動詞、時態與語態,"Verbs, Tenses & Voice",GRAM_G3_PASSIVE_PAT,特殊被動句型,Special Passive Patterns,12,0,國中,CANDIDATE
G4,助動詞,Auxiliary Verbs,GRAM_G4_AUX,助動詞,Auxiliary Verbs,3,13,國中＋高中,CANDIDATE
G4,助動詞,Auxiliary Verbs,GRAM_G4_AUX_PERF,助動詞完成式,Modal Perfect,0,2,高中,CANDIDATE
