Micro Code,Domain,Category Code,Category 中文,Skill Code,Skill 中文,Skill English,Micro-skill 中文,國中來源,高中來源,建議年段,備註
GRAM_G1_SENT_PAT_01,Grammar,G1,句子與結構一致,GRAM_G1_SENT_PAT,基本句型,Basic Sentence Patterns,第一句型 S + Vi,✓,✓,國中＋高中,
GRAM_G1_SENT_PAT_02,Grammar,G1,句子與結構一致,GRAM_G1_SENT_PAT,基本句型,Basic Sentence Patterns,第二句型 S + Vi + SC,✓,✓,國中＋高中,
GRAM_G1_SENT_PAT_03,Grammar,G1,句子與結構一致,GRAM_G1_SENT_PAT,基本句型,Basic Sentence Patterns,第三句型 S + Vt + O,✓,✓,國中＋高中,
GRAM_G1_SENT_PAT_04,Grammar,G1,句子與結構一致,GRAM_G1_SENT_PAT,基本句型,Basic Sentence Patterns,第四句型 S + Vt + IO + DO,✓,✓,國中＋高中,
GRAM_G1_SENT_PAT_05,Grammar,G1,句子與結構一致,GRAM_G1_SENT_PAT,基本句型,Basic Sentence Patterns,第五句型 S + Vt + O + OC,✓,✓,國中＋高中,
GRAM_G1_SENT_PAT_06,Grammar,G1,句子與結構一致,GRAM_G1_SENT_PAT,基本句型,Basic Sentence Patterns,句子結構分析,✓,✓,國中＋高中,
GRAM_G1_SENT_PAT_07,Grammar,G1,句子與結構一致,GRAM_G1_SENT_PAT,基本句型,Basic Sentence Patterns,there be 句型,✓,✓,國中＋高中,Owner Decision：there be 歸 G1；Here/There 與地方副詞倒裝留 G10 Inversion
GRAM_G1_SENT_ELEM_01,Grammar,G1,句子與結構一致,GRAM_G1_SENT_ELEM,句子成分,Sentence Elements,主詞,,✓,高中,
GRAM_G1_SENT_ELEM_02,Grammar,G1,句子與結構一致,GRAM_G1_SENT_ELEM,句子成分,Sentence Elements,受詞,,✓,高中,
GRAM_G1_SENT_ELEM_03,Grammar,G1,句子與結構一致,GRAM_G1_SENT_ELEM,句子成分,Sentence Elements,主詞補語,,✓,高中,
GRAM_G1_SENT_ELEM_04,Grammar,G1,句子與結構一致,GRAM_G1_SENT_ELEM,句子成分,Sentence Elements,受詞補語,,✓,高中,
GRAM_G1_SENT_ELEM_05,Grammar,G1,句子與結構一致,GRAM_G1_SENT_ELEM,句子成分,Sentence Elements,名詞補語 vs 形容詞補語,,✓,高中,
GRAM_G1_SENT_ELEM_06,Grammar,G1,句子與結構一致,GRAM_G1_SENT_ELEM,句子成分,Sentence Elements,OC：V-ing vs p.p.,,✓,高中,
GRAM_G1_AGREEMENT_01,Grammar,G1,句子與結構一致,GRAM_G1_AGREEMENT,主動詞一致,Subject–Verb Agreement,單數主詞,,✓,高中,
GRAM_G1_AGREEMENT_02,Grammar,G1,句子與結構一致,GRAM_G1_AGREEMENT,主動詞一致,Subject–Verb Agreement,複數主詞,,✓,高中,
GRAM_G1_AGREEMENT_03,Grammar,G1,句子與結構一致,GRAM_G1_AGREEMENT,主動詞一致,Subject–Verb Agreement,集合名詞,,✓,高中,
GRAM_G1_AGREEMENT_04,Grammar,G1,句子與結構一致,GRAM_G1_AGREEMENT,主動詞一致,Subject–Verb Agreement,不定代名詞作主詞,,✓,高中,
