Rule ID,規則,例子
TR-01,每一道可計分 Reading assessable item 必須恰好有一個 Primary Skill。,Q: What can be inferred...? → 選一個最直接決定答對與否的 READ_INFER_* 作 Primary。
TR-02,Secondary Skill 是 optional，預設 null。只有題目真的同時測第二能力時才標；v1 不自動產生與 Primary Skill 等權的 mastery evidence。,Secondary 先作 tagging / analysis metadata；不要因概念相關就固定雙標。
TR-03,Question Type / Stem Format 與 Skill 分離。,Best Title → question_type=BEST_TITLE；Primary Skill 通常 READ_MAIN_CENTRAL。
TR-04,EXCEPT / NOT / According to the passage 不是 Skill。,實際答案若是明示細節 → READ_DETAIL_EXPLICIT。
TR-05,明示資訊整合 vs 推論：若只是把文章已明說的 A+B 合起來，標 R2 Integration；若 A+B 還要推出未明說 C，標 R4 Inference。,A+B → stated result = R2；A+B → unstated conclusion = R4。
TR-06,作者語氣／態度雖需推論，但 Primary 固定歸 R6 Tone & Attitude。,How does the author feel...? → READ_PURPOSE_TONE。
TR-07,句段局部作用歸 R5 Function；整篇寫作目的歸 R6 Author's Purpose。,Why mention X in paragraph 3? 通常 R5；Why write this article? → R6。
TR-08,Reading v1 不建立 Micro-skill。,四層 taxonomy 是上限，不是配額；Reading v1 在 Skill 層結束是刻意設計。
TR-09,AI 批次分類時，應提供 Passage + Question stem + Options + Correct answer + Explanation（若有）。,單看 Which is true? 無法可靠分類。
TR-10,50–100 題 pilot 是 OPTIONAL future validation，不是 freeze gate。,未來若實際使用後發現兩個 Skills 長期難以區分，可在 v1.1 / v2 合併、改名或調整。
TR-11,Skill code 是 stable opaque identifier；禁止 parse code 字串來推導 Category。,READ_PURPOSE_TONE 屬 R6 必須由正式 taxonomy relationship 取得，不可從字串解析。
