High-Score Category Code,Category 中文,Category English,Feature ID,Feature Code,主技巧,Feature English,Sub-skills / 判斷項目,Effective / Boundary Rule,Quality Values,Status
H1,句構與句式技巧,Sentence Craft,H1-1,WRITE_HSF_PARALLEL,平行結構,Parallel Structure,words / phrases / clauses 的平行；paired structures；not only…but also；both…and 等,需真正形成結構對稱與表意增強；僅出現 paired conjunction 不代表有效。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H1,句構與句式技巧,Sentence Craft,H1-2,WRITE_HSF_SENT_VARIETY,句式多樣性,Sentence Variety,長短句交替；simple / compound / complex variation；不同句首；避免單一句型反覆,多樣性必須服務 clarity / rhythm；刻意複雜化或機械換句型不算高分特徵。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H1,句構與句式技巧,Sentence Craft,H1-3,WRITE_HSF_COMPLEX,有效複雜句,Effective Complex Sentences,relative clauses；noun clauses；adverb clauses；多層從屬但仍清楚易讀,複雜句需清楚且受控；若結構錯誤或造成可讀性下降，不算 EFFECTIVE。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H1,句構與句式技巧,Sentence Craft,H1-4,WRITE_HSF_REDUCED,分詞／簡化結構,Reduced Structures,V-ing participial phrases；p.p. phrases；reduced relative clauses；with + O + complement 等簡化,只有正確且自然地壓縮資訊才算；dangling / illogical modifier 應標 MISUSED。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H1,句構與句式技巧,Sentence Craft,H1-5,WRITE_HSF_INVERSION,倒裝,Inversion,negative inversion；only + adv inversion；so/such inversion；conditional inversion 等,不得因出現倒裝形式就自動稱讚；必須語法正確且有合理強調功能。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H1,句構與句式技巧,Sentence Craft,H1-6,WRITE_HSF_APPOSITIVE,同位語／補充結構,Appositive & Supplementary Structures,appositives；插入補充；dash structures；colon expansion；non-restrictive supplementary phrases,需增加資訊密度或清晰度；若插入造成歧義或句構失控，不算 EFFECTIVE。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H2,字彙成熟度,Lexical Sophistication,H2-1,WRITE_HSF_LEX_VARIETY,字彙多樣性,Lexical Variety,避免不必要重複；不同詞彙表達相關概念；動詞／形容詞／名詞變化,不為換字而換字；近義詞若造成語意偏差不算有效。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H2,字彙成熟度,Lexical Sophistication,H2-2,WRITE_HSF_LEX_PRECISION,精準用字,Lexical Precision,specific verbs；precise nouns；適切 adjective/adverb；細微語義差異,以語意精準與情境適切為核心，不以字詞難度判分。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H2,字彙成熟度,Lexical Sophistication,H2-3,WRITE_HSF_ADV_VOCAB,適切進階字彙,Appropriate Advanced Vocabulary,sophisticated but natural vocabulary；academic vocabulary；避免硬塞難字,只有自然、正確且符合語境的進階詞彙才算；misuse 應降為 PARTIALLY_EFFECTIVE / MISUSED。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H2,字彙成熟度,Lexical Sophistication,H2-4,WRITE_HSF_COLLOCATION,自然搭配,Natural Collocation,verb–noun；adjective–noun；adverb–adjective；prepositional collocations；慣用搭配,重點是 natural usage；僅使用固定片語但語境不合不算。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
