High-Score Category Code,Parent Feature ID,Parent Feature Code,Sub-skill ID,Sub-skill Code,Sub-skill 中文 / Display Label,Sub-skill English,Definition / Detection Note,Status,Visibility,Detection Enabled,Mastery Enabled
H1,H1-1,WRITE_HSF_PARALLEL,H1-1-1,WRITE_HSF_PARALLEL_WORD,單字層級平行,Word Parallelism,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。 Owner 於 2026-08-30 裁決自「words / phrases / clauses 的平行」拆分為獨立 Sub-skill。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-1,WRITE_HSF_PARALLEL,H1-1-2,WRITE_HSF_PARALLEL_PHRASE,片語層級平行,Phrase Parallelism,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。 Owner 於 2026-08-30 裁決自「words / phrases / clauses 的平行」拆分為獨立 Sub-skill。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-1,WRITE_HSF_PARALLEL,H1-1-3,WRITE_HSF_PARALLEL_CLAUSE,子句層級平行,Clause Parallelism,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。 Owner 於 2026-08-30 裁決自「words / phrases / clauses 的平行」拆分為獨立 Sub-skill。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-1,WRITE_HSF_PARALLEL,H1-1-4,WRITE_HSF_PARALLEL_PAIRED_STRUCTURES,成對結構,paired structures,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-1,WRITE_HSF_PARALLEL,H1-1-5,WRITE_HSF_PARALLEL_NOT_ONLY_BUT_ALSO,not only…but also 句型,not only…but also,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-1,WRITE_HSF_PARALLEL,H1-1-6,WRITE_HSF_PARALLEL_BOTH_AND,both…and 句型,both…and,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-2,WRITE_HSF_SENT_VARIETY,H1-2-1,WRITE_HSF_SENT_VARIETY_SUB01,長短句交替,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-2,WRITE_HSF_SENT_VARIETY,H1-2-2,WRITE_HSF_SENT_VARIETY_SIMPLE_COMPOUND_COMPLEX_VARIATION,句型交替變化,Sentence-type Variation,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。 原文「簡單／複合／複雜句交替」。Owner 於 2026-08-30 裁決維持單一 node，不再拆分。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-2,WRITE_HSF_SENT_VARIETY,H1-2-3,WRITE_HSF_SENT_VARIETY_SUB03,不同句首,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-2,WRITE_HSF_SENT_VARIETY,H1-2-4,WRITE_HSF_SENT_VARIETY_SUB04,避免單一句型反覆,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-3,WRITE_HSF_COMPLEX,H1-3-1,WRITE_HSF_COMPLEX_RELATIVE_CLAUSES,關係子句,relative clauses,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-3,WRITE_HSF_COMPLEX,H1-3-2,WRITE_HSF_COMPLEX_NOUN_CLAUSES,名詞子句,noun clauses,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-3,WRITE_HSF_COMPLEX,H1-3-3,WRITE_HSF_COMPLEX_ADVERB_CLAUSES,副詞子句,adverb clauses,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-3,WRITE_HSF_COMPLEX,H1-3-4,WRITE_HSF_COMPLEX_SUB04,多層從屬但仍清楚易讀,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-4,WRITE_HSF_REDUCED,H1-4-1,WRITE_HSF_REDUCED_V_ING_PARTICIPIAL_PHRASES,V-ing 分詞片語,V-ing participial phrases,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-4,WRITE_HSF_REDUCED,H1-4-2,WRITE_HSF_REDUCED_P_P_PHRASES,p.p. 分詞片語,p.p. phrases,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-4,WRITE_HSF_REDUCED,H1-4-3,WRITE_HSF_REDUCED_REDUCED_RELATIVE_CLAUSES,簡化關係子句,reduced relative clauses,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
